alpha body, CL
  -4.000000,   -0.066854
  -3.517241,   -0.008348
  -3.034483,    0.050191
  -2.551724,    0.108763
  -2.068966,    0.167371
  -1.586207,    0.226016
  -1.103448,    0.284696
  -0.620690,    0.343411
  -0.137931,    0.402162
   0.344828,    0.460951
   0.827586,    0.519781
   1.310345,    0.578649
   1.793103,    0.637555
   2.275862,    0.696500
   2.758621,    0.755484
   3.241379,    0.814513
   3.724138,    0.873582
   4.206897,    0.932692
   4.689655,    0.991843
   5.172414,    1.051035
   5.655172,    1.110275
   6.137931,    1.169558
   6.620690,    1.228883
   7.103448,    1.288251
   7.586207,    1.347667
   8.068966,    1.407593
   8.551724,    1.470216
   9.034483,    1.532839
   9.517241,    1.595459
  10.000000,    1.657450
