alpha body, CL
  -4.000000,   -0.271141
  -3.517241,   -0.212635
  -3.034483,   -0.154096
  -2.551724,   -0.095524
  -2.068966,   -0.036917
  -1.586207,    0.021728
  -1.103448,    0.080408
  -0.620690,    0.139124
  -0.137931,    0.197875
   0.344828,    0.256664
   0.827586,    0.315494
   1.310345,    0.374362
   1.793103,    0.433268
   2.275862,    0.492212
   2.758621,    0.551197
   3.241379,    0.610226
   3.724138,    0.669295
   4.206897,    0.728404
   4.689655,    0.787555
   5.172414,    0.846748
   5.655172,    0.905988
   6.137931,    0.965270
   6.620690,    1.024596
   7.103448,    1.083964
   7.586207,    1.143379
   8.068966,    1.203305
   8.551724,    1.265929
   9.034483,    1.328551
   9.517241,    1.391171
  10.000000,    1.453162
