alpha body, CL
  -4.000000,   -0.123375
  -3.517241,   -0.064869
  -3.034483,   -0.006330
  -2.551724,    0.052242
  -2.068966,    0.110850
  -1.586207,    0.169495
  -1.103448,    0.228175
  -0.620690,    0.286890
  -0.137931,    0.345641
   0.344828,    0.404430
   0.827586,    0.463260
   1.310345,    0.522128
   1.793103,    0.581034
   2.275862,    0.639979
   2.758621,    0.698963
   3.241379,    0.757992
   3.724138,    0.817061
   4.206897,    0.876171
   4.689655,    0.935322
   5.172414,    0.994514
   5.655172,    1.053754
   6.137931,    1.113037
   6.620690,    1.172362
   7.103448,    1.231730
   7.586207,    1.291146
   8.068966,    1.351072
   8.551724,    1.413695
   9.034483,    1.476318
   9.517241,    1.538938
  10.000000,    1.600929
