alpha body, CL
  -4.000000,   -0.226313
  -3.517241,   -0.167807
  -3.034483,   -0.109268
  -2.551724,   -0.050696
  -2.068966,    0.007912
  -1.586207,    0.066557
  -1.103448,    0.125236
  -0.620690,    0.183952
  -0.137931,    0.242703
   0.344828,    0.301492
   0.827586,    0.360322
   1.310345,    0.419190
   1.793103,    0.478096
   2.275862,    0.537041
   2.758621,    0.596025
   3.241379,    0.655054
   3.724138,    0.714123
   4.206897,    0.773233
   4.689655,    0.832384
   5.172414,    0.891576
   5.655172,    0.950816
   6.137931,    1.010098
   6.620690,    1.069424
   7.103448,    1.128792
   7.586207,    1.188208
   8.068966,    1.248133
   8.551724,    1.310757
   9.034483,    1.373379
   9.517241,    1.435999
  10.000000,    1.497991
