alpha body, CL
  -4.000000,   -0.237094
  -3.517241,   -0.178587
  -3.034483,   -0.120048
  -2.551724,   -0.061476
  -2.068966,   -0.002869
  -1.586207,    0.055776
  -1.103448,    0.114456
  -0.620690,    0.173171
  -0.137931,    0.231923
   0.344828,    0.290712
   0.827586,    0.349542
   1.310345,    0.408410
   1.793103,    0.467316
   2.275862,    0.526260
   2.758621,    0.585244
   3.241379,    0.644273
   3.724138,    0.703343
   4.206897,    0.762452
   4.689655,    0.821603
   5.172414,    0.880796
   5.655172,    0.940036
   6.137931,    0.999318
   6.620690,    1.058643
   7.103448,    1.118012
   7.586207,    1.177427
   8.068966,    1.237353
   8.551724,    1.299977
   9.034483,    1.362599
   9.517241,    1.425219
  10.000000,    1.487210
