alpha body, CL
  -4.000000,   -0.218047
  -3.517241,   -0.159541
  -3.034483,   -0.101002
  -2.551724,   -0.042430
  -2.068966,    0.016178
  -1.586207,    0.074823
  -1.103448,    0.133503
  -0.620690,    0.192218
  -0.137931,    0.250970
   0.344828,    0.309759
   0.827586,    0.368589
   1.310345,    0.427456
   1.793103,    0.486362
   2.275862,    0.545307
   2.758621,    0.604291
   3.241379,    0.663320
   3.724138,    0.722389
   4.206897,    0.781499
   4.689655,    0.840650
   5.172414,    0.899842
   5.655172,    0.959082
   6.137931,    1.018365
   6.620690,    1.077690
   7.103448,    1.137059
   7.586207,    1.196474
   8.068966,    1.256400
   8.551724,    1.319024
   9.034483,    1.381646
   9.517241,    1.444266
  10.000000,    1.506257
