alpha body, CL
  -4.000000,   -0.176271
  -3.517241,   -0.117621
  -3.034483,   -0.058936
  -2.551724,   -0.000216
  -2.068966,    0.058541
  -1.586207,    0.117338
  -1.103448,    0.176172
  -0.620690,    0.235042
  -0.137931,    0.293950
   0.344828,    0.352898
   0.827586,    0.411888
   1.310345,    0.470917
   1.793103,    0.529986
   2.275862,    0.589094
   2.758621,    0.648243
   3.241379,    0.707438
   3.724138,    0.766673
   4.206897,    0.825950
   4.689655,    0.885269
   5.172414,    0.944629
   5.655172,    1.004037
   6.137931,    1.063488
   6.620690,    1.122982
   7.103448,    1.182518
   7.586207,    1.242101
   8.068966,    1.302167
   8.551724,    1.364776
   9.034483,    1.427381
   9.517241,    1.489981
  10.000000,    1.551950
