alpha body, CL
  -4.000000,   -0.010333
  -3.517241,    0.048173
  -3.034483,    0.106712
  -2.551724,    0.165284
  -2.068966,    0.223892
  -1.586207,    0.282537
  -1.103448,    0.341217
  -0.620690,    0.399932
  -0.137931,    0.458683
   0.344828,    0.517472
   0.827586,    0.576302
   1.310345,    0.635170
   1.793103,    0.694076
   2.275862,    0.753021
   2.758621,    0.812005
   3.241379,    0.871034
   3.724138,    0.930103
   4.206897,    0.989213
   4.689655,    1.048364
   5.172414,    1.107556
   5.655172,    1.166796
   6.137931,    1.226079
   6.620690,    1.285404
   7.103448,    1.344772
   7.586207,    1.404188
   8.068966,    1.464114
   8.551724,    1.526737
   9.034483,    1.589360
   9.517241,    1.651980
  10.000000,    1.713971
