alpha_b, CL 
  -4.000000,    0.143379
  -3.794872,    0.168801
  -3.589744,    0.194021
  -3.384615,    0.219114
  -3.179487,    0.244200
  -2.974359,    0.269281
  -2.769231,    0.294354
  -2.564103,    0.319424
  -2.358974,    0.344484
  -2.153846,    0.369542
  -1.948718,    0.394590
  -1.743590,    0.419636
  -1.538462,    0.444672
  -1.333333,    0.469705
  -1.128205,    0.494730
  -0.923077,    0.519751
  -0.717949,    0.544763
  -0.512821,    0.569773
  -0.307692,    0.594774
  -0.102564,    0.619772
   0.102564,    0.644760
   0.307692,    0.669747
   0.512821,    0.694724
   0.717949,    0.719700
   0.923077,    0.744664
   1.128205,    0.769629
   1.333333,    0.794582
   1.538462,    0.819535
   1.743590,    0.844477
   1.948718,    0.869419
   2.153846,    0.894350
   2.358974,    0.919281
   2.564103,    0.944201
   2.769231,    0.969121
   2.974359,    0.994031
   3.179487,    1.018939
   3.384615,    1.043838
   3.589744,    1.068736
   3.794872,    1.093625
   4.000000,    1.118716
