CLe, Neutral Point
  -0.041906,    0.335349
   0.015101,    0.336022
   0.072130,    0.337363
   0.129181,    0.338762
   0.186255,    0.340292
   0.243350,    0.341780
   0.300467,    0.343175
   0.357605,    0.344603
   0.414765,    0.186487
   0.476727,    0.232824
   0.532721,    0.438783
   0.588735,    0.440375
   0.644770,    0.442019
   0.700825,    0.443730
   0.756900,    0.445687
   0.812995,    0.447798
   0.869110,    0.450080
   0.925244,    0.452319
   0.981397,    0.454333
   1.037569,    0.456635
   1.093760,    0.459020
   1.149969,    0.461275
   1.206197,    0.463598
   1.262442,    0.466132
   1.318705,    0.486205
   1.374986,    0.605518
   1.431283,    0.705788
   1.487598,    0.705159
   1.543929,    0.706936
   1.599634,    0.709016
