CLe, Neutral Point
  -0.039008,    0.373472
   0.014185,    0.374391
   0.067397,    0.376221
   0.120628,    0.378127
   0.173877,    0.380175
   0.227145,    0.382156
   0.280431,    0.384027
   0.333736,    0.385935
   0.387058,    0.203479
   0.444861,    0.257285
   0.497092,    0.495541
   0.549340,    0.497629
   0.601605,    0.499769
   0.653887,    0.501994
   0.706186,    0.504492
   0.758501,    0.507385
   0.810832,    0.510221
   0.863179,    0.512768
   0.915542,    0.515306
   0.967920,    0.518180
   1.020314,    0.521134
   1.072721,    0.523921
   1.125144,    0.526790
   1.177580,    0.529887
   1.230030,    0.552007
   1.282494,    0.681570
   1.334971,    0.790299
   1.387461,    0.789622
   1.439963,    0.791815
   1.491878,    0.794327
