Speed(CAS), Altitude
 111.755429,    0.000000
 111.755431,  328.083990
 111.755431,  656.167979
 111.755431,  984.251969
 111.755431, 1312.335958
 111.755431, 1640.419948
 111.755431, 1968.503937
 111.755431, 2296.587927
 111.755431, 2624.671916
 111.755431, 2952.755906
 111.755431, 3280.839895
 111.755431, 3608.923885
 111.755431, 3937.007874
 111.755431, 4265.091864
 111.755431, 4593.175853
 111.755431, 4921.259843
 111.755431, 5249.343832
 111.755431, 5577.427822
 111.755431, 5905.511811
 111.755431, 6233.595801
 111.755431, 6561.679790
 111.755431, 6889.763780
 111.755431, 7217.847769
 111.755431, 7545.931759
 111.755431, 7874.015748
 111.755431, 8202.099738
 111.755431, 8530.183727
 111.755431, 8858.267717
 111.755431, 9186.351706
 111.755431, 9514.435696
 111.755431, 9842.519685
 111.755431, 10170.603675
 111.755431, 10498.687664
 111.755431, 10826.771654
 111.755431, 11154.855643
 111.755431, 11482.939633
 111.755431, 11811.023622
 111.755431, 12139.107612
 111.755431, 12467.191601
 111.755431, 12795.275591
 111.755431, 13123.359580
 111.755431, 13451.443570
 111.755431, 13779.527559
 111.755431, 14107.611549
 111.755431, 14435.695538
 111.755431, 14763.779528
 111.755431, 15091.863517
 111.755431, 15419.947507
 111.755431, 15748.031496
 111.755431, 16076.115486
 111.755431, 16404.199475
 111.755431, 16732.283465
 111.755431, 17060.367454
 111.755431, 17388.451444
 111.755431, 17716.535433
 111.755431, 18044.619423
 111.755431, 18372.703412
 111.755431, 18700.787402
 111.755431, 19028.871391
 111.755431, 19356.955381
 111.755431, 19685.039370
 112.092484, 20013.123360
 112.757370, 20341.207349
 113.079111, 20669.291339
 113.394798, 20997.375328
 114.029310, 21325.459318
 114.329988, 21653.543307
 115.262366, 21981.627297
 116.492702, 22309.711286
 117.386494, 22637.795276
 118.572541, 22965.879265
 120.349006, 23293.963255
 121.786478, 23622.047244
 123.496060, 23950.131234
 125.767321, 24278.215223
 127.697407, 24606.299213
 129.879958, 24934.383202
 132.017157, 25262.467192
 134.395899, 25590.551181
 137.575404, 25918.635171
 140.125978, 26246.719160
 144.289596, 26574.803150
 166.531334, 26902.887139
 172.652714, 26574.803150
 176.361626, 26246.719160
 180.135799, 25918.635171
 183.975658, 25590.551181
 186.723818, 25262.467192
 188.930836, 24934.383202
 191.465308, 24606.299213
 193.739893, 24278.215223
 196.348164, 23950.131234
 198.691166, 23622.047244
 201.067224, 23293.963255
 203.166672, 22965.879265
 205.606478, 22637.795276
 207.132477, 22309.711286
 208.993173, 21981.627297
 210.554032, 21653.543307
 212.455799, 21325.459318
 214.051913, 20997.375328
 215.664278, 20669.291339
 217.626960, 20341.207349
 219.275159, 20013.123360
 220.599742, 19685.039370
 222.277975, 19356.955381
 223.626540, 19028.871391
 225.335098, 18700.787402
 226.707885, 18372.703412
 228.091298, 18044.619423
 229.844317, 17716.535433
 231.252302, 17388.451444
 232.671068, 17060.367454
 234.100663, 16732.283465
 235.541135, 16404.199475
 236.617569, 16076.115486
 237.698484, 15748.031496
 239.165353, 15419.947507
 240.258522, 15091.863517
 241.356208, 14763.779528
 242.458418, 14435.695538
 243.565158, 14107.611549
 244.676437, 13779.527559
 245.792262, 13451.443570
 246.912640, 13123.359580
 248.037580, 12795.275591
 249.167087, 12467.191601
 250.301170, 12139.107612
 251.439837, 11811.023622
 252.583094, 11482.939633
 253.730950, 11154.855643
 254.454884, 10826.771654
 255.608494, 10498.687664
 256.766710, 10170.603675
 257.490580, 9842.519685
 258.212059, 9514.435696
 258.485126, 9186.351706
 258.748667, 8858.267717
 259.455673, 8530.183727
 259.703494, 8202.099738
 260.401778, 7874.015748
 261.097423, 7545.931759
 261.790393, 7217.847769
 262.009637, 6889.763780
 262.693521, 6561.679790
 263.374611, 6233.595801
 264.052871, 5905.511811
 264.728267, 5577.427822
 265.400763, 5249.343832
 266.070323, 4921.259843
 266.736911, 4593.175853
 266.900025, 4265.091864
 267.556817, 3937.007874
 267.702545, 3608.923885
 268.349340, 3280.839895
 268.992956, 2952.755906
 269.114019, 2624.671916
 269.747349, 2296.587927
 270.377375, 1968.503937
 270.473231, 1640.419948
 271.092680, 1312.335958
 271.708700,  984.251969
 271.778803,  656.167979
 272.383953,  328.083990
 272.985545,    0.000000
