Ground Distance, Speed
   0.000000,    0.000508
   0.000002,    0.003212
   0.000025,    0.012366
   0.000217,    0.036171
   0.002287,    0.117369
   0.009551,    0.239823
   0.029747,    0.423204
   0.063408,    0.617812
   0.110041,    0.813801
   0.168948,    1.008263
   0.241108,    1.204367
   0.326264,    1.400857
   0.424308,    1.597369
   0.536028,    1.795206
   0.663261,    1.996724
   0.802564,    2.196195
   0.957568,    2.398670
   1.128397,    2.603579
   1.315064,    2.810391
   1.515494,    3.016644
   1.731391,    3.224022
   1.964197,    3.433570
   2.219446,    3.649448
   2.486424,    3.862288
   2.776520,    4.080922
   3.085607,    4.301585
   3.409205,    4.521009
   3.749465,    4.740717
   4.117457,    4.967328
   4.501718,    5.193337
   4.912235,    5.424314
   5.338129,    5.653898
   5.796444,    5.890888
   6.266932,    6.124557
   6.768955,    6.364346
   7.294068,    6.605768
   7.402829,    6.654665
   7.453794,    6.677453
   7.480676,    6.689442
   7.500765,    6.698387
   7.516567,    6.705414
   7.528721,    6.710814
   7.539267,    6.715496
   7.548928,    6.719783
   7.556329,    6.723064
   7.562627,    6.725856
   7.564497,    6.726685
   7.565177,    6.726986
   7.565905,    6.727308
   7.571086,    6.729603
   7.594326,    6.739888
   7.672714,    6.774461
   7.871131,    6.861186
   8.289945,    7.040699
   8.888389,    7.289457
   9.516858,    7.541769
  10.166001,    7.793713
  10.850897,    8.050889
  11.580836,    8.316120
  12.316693,    8.575097
  13.097274,    8.841418
  13.888472,    9.103307
  14.740956,    9.377185
  15.610436,    9.648403
  16.498568,    9.917672
  17.430865,   10.192563
  18.395436,   10.469258
  19.397124,   10.748942
  20.438889,   11.032172
  21.529200,   11.320885
  22.633789,   11.605929
  23.777027,   11.893625
  24.961299,   12.184354
  26.195733,   12.480054
  27.470620,   12.778125
  28.798429,   13.081206
  30.137076,   13.379671
  30.412930,   13.440335
  30.440872,   13.446464
  30.464040,   13.451544
  30.468355,   13.452490
  30.471943,   13.453276
  30.473866,   13.453698
  30.474681,   13.453876
  30.475705,   13.454101
  30.484962,   13.456130
  30.530534,   13.466112
  30.761858,   13.516670
  31.359183,   13.646335
  32.805097,   13.955114
  34.293799,   14.265897
  35.813316,   14.576129
  37.381397,   14.889346
  38.985740,   15.202974
  40.642322,   15.520006
  42.353412,   15.840648
  44.088544,   16.159137
  45.913110,   16.487238
  47.778554,   16.815902
  49.663380,   17.141412
  51.644078,   17.476770
  53.648329,   17.809512
  55.713076,   18.145739
  57.831950,   18.484239
  59.996025,   18.823494
  62.215391,   19.164994
  64.477122,   19.506675
  66.830162,   19.855718
  67.305443,   19.925453
  68.601621,   20.114368
  68.698039,   20.128347
  68.783476,   20.140726
  68.843110,   20.149362
  68.891187,   20.156321
  68.931217,   20.162114
  68.965530,   20.167078
  69.034181,   20.177006
  69.044763,   20.178535
  69.057166,   20.180328
  69.059686,   20.180693
  69.070720,   20.182288
  69.080851,   20.183752
  69.138761,   20.192119
  69.376798,   20.226477
  70.089246,   20.328951
  72.374652,   20.654127
  74.922538,   21.010523
  77.522475,   21.367867
  80.144497,   21.722091
  82.861368,   22.082928
  85.613775,   22.442360
  88.400995,   22.800357
  91.290663,   23.165459
  94.234321,   23.531342
  97.273080,   23.902949
 100.366103,   24.275127
 103.503558,   24.646685
 106.719490,   25.021584
 109.990797,   25.397031
 113.338865,   25.775394
 116.773529,   26.157619
 120.294398,   26.543483
 121.005712,   26.620730
 123.120846,   26.849057
 123.264826,   26.864526
 123.390732,   26.878046
 123.484210,   26.888079
 123.578455,   26.898190
 123.653344,   26.906221
 123.662305,   26.907182
 123.669071,   26.907908
 123.675373,   26.908584
 123.728215,   26.914249
 123.973509,   26.940530
 124.895214,   27.039047
 128.261495,   27.395710
 131.957542,   27.781804
 135.736445,   28.170836
 139.623091,   28.565180
 143.591825,   28.962055
 147.591162,   29.356306
 151.677309,   29.753462
 155.851819,   30.153542
 160.139539,   30.558750
 164.477498,   30.963039
 168.877742,   31.367540
 173.378311,   31.775662
 177.995429,   32.188695
 182.679230,   32.602064
 187.436163,   33.016305
 192.284665,   33.432950
 193.269939,   33.516949
 193.769447,   33.559450
 194.097522,   33.587333
 194.389556,   33.612132
 194.616627,   33.631402
 194.638411,   33.633250
