CD, CL
   0.004297,    0.057381
   0.004737,    0.097227
   0.005403,    0.137072
   0.006295,    0.176917
   0.007414,    0.216762
   0.008760,    0.256607
   0.010332,    0.296453
   0.012130,    0.336298
   0.014155,    0.376143
   0.016406,    0.415988
   0.018884,    0.455833
   0.021589,    0.495679
   0.024657,    0.535524
   0.028073,    0.575369
   0.031722,    0.615214
   0.035576,    0.655059
   0.039657,    0.694905
   0.044002,    0.734750
   0.048594,    0.774595
   0.053414,    0.814440
   0.058462,    0.854285
   0.063735,    0.894130
   0.069231,    0.933976
   0.074953,    0.973821
   0.080919,    1.013762
   0.087167,    1.054046
   0.093722,    1.094854
   0.100602,    1.136268
   0.107820,    1.178270
   0.115364,    1.220741
