CLe, Static Stability Margin
  -0.041906,    0.064651
   0.015101,    0.063978
   0.072130,    0.062637
   0.129181,    0.061238
   0.186255,    0.059708
   0.243350,    0.058220
   0.300467,    0.056825
   0.357605,    0.055397
   0.414765,    0.213513
   0.476727,    0.167176
   0.532721,   -0.038783
   0.588735,   -0.040375
   0.644770,   -0.042019
   0.700825,   -0.043730
   0.756900,   -0.045687
   0.812995,   -0.047798
   0.869110,   -0.050080
   0.925244,   -0.052319
   0.981397,   -0.054333
   1.037569,   -0.056635
   1.093760,   -0.059020
   1.149969,   -0.061275
   1.206197,   -0.063598
   1.262442,   -0.066132
   1.318705,   -0.086205
   1.374986,   -0.205518
   1.431283,   -0.305788
   1.487598,   -0.305159
   1.543929,   -0.306936
   1.599634,   -0.309016
