CLe, Static Stability Margin
  -0.039008,   -0.261287
   0.014185,   -0.262125
   0.067397,   -0.263795
   0.120628,   -0.265533
   0.173877,   -0.267420
   0.227145,   -0.269259
   0.280431,   -0.270993
   0.333736,   -0.272767
   0.387058,   -0.090690
   0.444861,   -0.144224
   0.497092,   -0.381709
   0.549340,   -0.383690
   0.601605,   -0.385735
   0.653887,   -0.387861
   0.706186,   -0.390274
   0.758501,   -0.392860
   0.810832,   -0.395625
   0.863179,   -0.398355
   0.915542,   -0.400855
   0.967920,   -0.403691
   1.020314,   -0.406631
   1.072721,   -0.409428
   1.125144,   -0.412309
   1.177580,   -0.415441
   1.230030,   -0.438731
   1.282494,   -0.576051
   1.334971,   -0.691506
   1.387461,   -0.691045
   1.439963,   -0.693458
   1.491878,   -0.696086
