eta, alpha_i
   0.000000,    0.302370
   0.034483,    0.305602
   0.068966,    0.306939
   0.103448,    0.307790
   0.137931,    0.308411
   0.172414,    0.308899
   0.206897,    0.309301
   0.241379,    0.309643
   0.275862,    0.309945
   0.310345,    0.310221
   0.344828,    0.310482
   0.379310,    0.310741
   0.413793,    0.311013
   0.448276,    0.311320
   0.482759,    0.311762
   0.517241,    0.312089
   0.551724,    0.312266
   0.586207,    0.312595
   0.620690,    0.313025
   0.655172,    0.313580
   0.689655,    0.314311
   0.724138,    0.315306
   0.758621,    0.316721
   0.793103,    0.318856
   0.827586,    0.322339
   0.862069,    0.328699
   0.896552,    0.342519
   0.931034,    0.383665
   0.965517,    0.670617
   1.000000,   -1.649946
