eta, Cd
   0.000000,    0.006724
   0.020408,    0.006737
   0.040816,    0.006767
   0.061224,    0.006798
   0.081633,    0.006830
   0.102041,    0.006862
   0.122449,    0.006894
   0.142857,    0.006925
   0.163265,    0.006959
   0.183673,    0.006999
   0.204082,    0.007039
   0.224490,    0.007080
   0.244898,    0.007119
   0.265306,    0.007159
   0.285714,    0.007199
   0.306122,    0.007238
   0.326531,    0.007277
   0.346939,    0.007315
   0.367347,    0.007353
   0.387755,    0.007391
   0.408163,    0.007428
   0.428571,    0.007464
   0.448980,    0.007500
   0.469388,    0.007535
   0.489796,    0.007569
   0.510204,    0.007602
   0.530612,    0.007633
   0.551020,    0.007663
   0.571429,    0.007691
   0.591837,    0.007717
   0.612245,    0.007741
   0.632653,    0.007763
   0.653061,    0.007785
   0.673469,    0.007802
   0.693878,    0.007813
   0.714286,    0.007818
   0.734694,    0.007814
   0.755102,    0.007802
   0.775510,    0.007777
   0.795918,    0.007743
   0.816327,    0.007697
   0.836735,    0.007634
   0.857143,    0.007549
   0.877551,    0.007437
   0.897959,    0.007290
   0.918367,    0.007096
   0.938776,    0.006873
   0.959184,    0.006615
   0.979592,    0.006425
   1.000000,    0.005526
