alpha_h, CM
  -3.893380,   -0.001845
  -3.310295,   -0.001568
  -2.763810,   -0.001310
  -2.220240,   -0.001052
  -1.679492,   -0.000796
  -1.141472,   -0.000541
  -0.606085,   -0.000287
  -0.073238,   -0.000035
   0.457164,    0.000217
   0.985213,    0.000467
   1.511003,    0.000716
   2.043913,    0.000968
   2.594819,    0.001229
   3.148853,    0.001492
   3.706137,    0.001756
   4.270637,    0.002023
   4.874405,    0.002310
   5.559744,    0.002634
   6.349687,    0.003009
   7.245279,    0.003433
   8.225998,    0.003898
   9.250886,    0.004383
  10.260118,    0.004861
  11.176435,    0.005295
  11.905492,    0.005641
