CD, CL
   0.012013,   -0.296009
   0.010888,   -0.270790
   0.009987,   -0.248717
   0.009165,   -0.226727
   0.008423,   -0.204826
   0.007757,   -0.183005
   0.007168,   -0.161260
   0.006655,   -0.139592
   0.006219,   -0.117998
   0.005856,   -0.096488
   0.005567,   -0.075048
   0.005349,   -0.053679
   0.005205,   -0.032379
   0.005133,   -0.011146
   0.005132,    0.010012
   0.005200,    0.031105
   0.005337,    0.052135
   0.005542,    0.073103
   0.005818,    0.094011
   0.006161,    0.114853
   0.006573,    0.135762
   0.007071,    0.157377
   0.007657,    0.179553
   0.008325,    0.201811
   0.009075,    0.224182
   0.010067,    0.250763
