Ground Roll Distance, Acceleration
 339.063452,   -0.709876
 347.040907,   -0.707482
 402.113216,   -0.691238
 413.005807,   -0.688083
 423.858246,   -0.684960
 434.670735,   -0.681867
 445.443470,   -0.678804
 447.593264,   -0.678195
 447.644993,   -0.678180
 447.682368,   -0.678169
 447.700784,   -0.678164
 447.712493,   -0.678161
 447.716572,   -0.678160
 447.718950,   -0.678159
 447.719427,   -2.324760
 447.719861,   -2.324764
 447.724205,   -2.324800
 447.767639,   -2.325158
 448.201889,   -2.328743
 452.534861,   -2.364864
 483.997811,   -2.647319
 491.450409,   -2.719842
 499.799419,   -2.803639
 535.322690,   -3.197640
 568.667928,   -3.633633
 598.542904,   -4.094026
 625.040891,   -4.573565
 648.360866,   -5.067298
 668.725764,   -5.570017
 686.361507,   -6.076288
 690.583998,   -6.209652
 691.284618,   -6.232172
 692.111781,   -6.257765
 700.111981,   -6.515483
 705.021995,   -6.683711
 708.463646,   -6.806777
 709.624491,   -6.849097
 710.659040,   -6.886928
 720.361993,   -7.265188
 723.013684,   -7.377071
 725.199069,   -7.472539
 726.404049,   -7.526549
 727.090349,   -7.557772
 727.434348,   -7.572846
 727.773961,   -7.587355
 731.046368,   -7.731077
 739.461428,   -8.142285
 745.855189,   -8.522776
 747.244120,   -8.633290
 748.335298,   -8.729300
 751.144569,   -9.076249
 751.423303,   -9.148379
 751.510489,   -9.187355
 751.542995,   -9.220142
 751.544494,   -9.226402
 751.544637,   -9.228484
 751.544645,   -9.229106
