alpha body, Static Stability Margin
  -4.000000,   -0.221435
  -3.517241,   -0.188538
  -3.034483,   -0.153382
  -2.551724,   -0.148812
  -2.068966,   -0.144247
  -1.586207,   -0.139744
  -1.103448,   -0.135225
  -0.620690,   -0.130681
  -0.137931,   -0.122364
   0.344828,   -0.117982
   0.827586,   -0.117396
   1.310345,   -0.112880
   1.793103,   -0.108359
   2.275862,   -0.103751
   2.758621,   -0.099140
   3.241379,   -0.094634
   3.724138,   -0.090146
   4.206897,   -0.085683
   4.689655,   -0.081176
   5.172414,   -0.077954
   5.655172,   -0.082363
   6.137931,   -0.091666
   6.620690,   -0.094809
   7.103448,   -0.093515
   7.586207,   -0.138208
   8.068966,   -0.183383
