alpha body, Static Stability Margin
  -4.000000,    0.104505
  -3.517241,    0.132495
  -3.034483,    0.162442
  -2.551724,    0.166388
  -2.068966,    0.170306
  -1.586207,    0.174150
  -1.103448,    0.177984
  -0.620690,    0.181818
  -0.137931,    0.188820
   0.344828,    0.192475
   0.827586,    0.192901
   1.310345,    0.196629
   1.793103,    0.200343
   2.275862,    0.204111
   2.758621,    0.207862
   3.241379,    0.211506
   3.724138,    0.215117
   4.206897,    0.218688
   4.689655,    0.222280
   5.172414,    0.224763
   5.655172,    0.220740
   6.137931,    0.212539
   6.620690,    0.209558
   7.103448,    0.210335
   7.586207,    0.172986
   8.068966,    0.135392
