Time, Energies
   0.000000,    0.000000
   0.000028,    0.000679
   0.000056,    0.002707
   0.000083,    0.006077
   0.000111,    0.010785
   0.000139,    0.016828
   0.000167,    0.024200
   0.000194,    0.032898
   0.000222,    0.042917
   0.000250,    0.054253
   0.000278,    0.066901
   0.000306,    0.080857
   0.000333,    0.096033
   0.000361,    0.112482
   0.000389,    0.130211
   0.000417,    0.149216
   0.000444,    0.169492
   0.000472,    0.191035
   0.000500,    0.213840
   0.000528,    0.237904
   0.000556,    0.263223
   0.000583,    0.289791
   0.000611,    0.317449
   0.000639,    0.346314
   0.000667,    0.376402
   0.000694,    0.407707
   0.000722,    0.440227
   0.000750,    0.473956
   0.000778,    0.508891
   0.000806,    0.545028
   0.000833,    0.582362
   0.000861,    0.620889
   0.000889,    0.660376
   0.000917,    0.701006
   0.000944,    0.742802
   0.000972,    0.785760
   0.001000,    0.829876
   0.001028,    0.875145
   0.001056,    0.921565
   0.001083,    0.969131
   0.001111,    1.017839
   0.001139,    1.067685
   0.001167,    1.118363
   0.001194,    1.170119
   0.001222,    1.222987
   0.001250,    1.276963
   0.001278,    1.332041
   0.001306,    1.388220
   0.001333,    1.445494
   0.001361,    1.503860
   0.001389,    1.563314
   0.001417,    1.623852
   0.001444,    1.684467
   0.001472,    1.745969
   0.001500,    1.808477
   0.001528,    1.871985
   0.001556,    1.936487
   0.001583,    2.001979
   0.001611,    2.068455
   0.001639,    2.135910
   0.001667,    2.204338
   0.001694,    2.273736
   0.001722,    2.343313
   0.001750,    2.413720
   0.001778,    2.485050
   0.001806,    2.557296
   0.001833,    2.630453
   0.001861,    2.704516
   0.001889,    2.779479
   0.001917,    2.855337
   0.001944,    2.932085
   0.001972,    3.009717
   0.002000,    3.087576
   0.002028,    3.166213
   0.002056,    3.245703
   0.002083,    3.326042
   0.002111,    3.407224
   0.002139,    3.489244
   0.002167,    3.572097
   0.002194,    3.655778
   0.002222,    3.740282
   0.002250,    3.825604
   0.002278,    3.911019
   0.002306,    3.997139
   0.002333,    4.084047
   0.002361,    4.171740
   0.002389,    4.260211
   0.002417,    4.349456
   0.002444,    4.439470
   0.002472,    4.530248
   0.002500,    4.621786
   0.002528,    4.714078
   0.002556,    4.806340
   0.002583,    4.899238
   0.002611,    4.992864
   0.002639,    5.087211
   0.002667,    5.182277
   0.002694,    5.278056
   0.002722,    5.374543
   0.002750,    5.471733
   0.002778,    5.569623
   0.002806,    5.668207
   0.002833,    5.766649
   0.002861,    5.865661
   0.002889,    5.965342
   0.002917,    6.065688
   0.002944,    6.166693
   0.002972,    6.268355
   0.003000,    6.370667
   0.003028,    6.473626
   0.003056,    6.577226
   0.003083,    6.681465
   0.003111,    6.781709
   0.003139,    6.881863
   0.003167,    6.982490
   0.003194,    7.083585
   0.003222,    7.185141
   0.003250,    7.287152
   0.003278,    7.389613
   0.003306,    7.492516
   0.003333,    7.595858
   0.003361,    7.699630
   0.003389,    7.802594
   0.003417,    7.905812
   0.003444,    8.009433
   0.003472,    8.113451
   0.003500,    8.217859
