Time, Powers
   0.000000,    0.033315
   0.001667,   33.257564
   0.003333,   66.250808
   0.005000,   99.149433
   0.006667,  131.977237
   0.008333,  164.734222
   0.010000,  197.420386
   0.011667,  230.035731
   0.013333,  262.580255
   0.015000,  295.053959
   0.016667,  327.456844
   0.018333,  359.788908
   0.020000,  391.704020
   0.021667,  423.506701
   0.023333,  455.240263
   0.025000,  486.904705
   0.026667,  518.500029
   0.028333,  550.026233
   0.030000,  581.483319
   0.031667,  612.871285
   0.033333,  644.190132
   0.035000,  675.439860
   0.036667,  706.271533
   0.038333,  736.992155
   0.040000,  767.645389
   0.041667,  798.231234
   0.043333,  828.749692
   0.045000,  859.200761
   0.046667,  889.584442
   0.048333,  919.900736
   0.050000,  950.149641
   0.051667,  980.331159
   0.053333, 1010.094564
   0.055000, 1039.748450
   0.056667, 1069.336703
   0.058333, 1098.859324
   0.060000, 1128.316313
   0.061667, 1157.707670
   0.063333, 1187.033395
   0.065000, 1216.293489
   0.066667, 1245.487950
   0.068333, 1274.616779
   0.070000, 1303.328428
   0.071667, 1331.932228
   0.073333, 1360.472173
   0.075000, 1388.948261
   0.076667, 1417.360492
   0.078333, 1445.708868
   0.080000, 1473.993388
   0.081667, 1502.214051
   0.083333, 1530.370858
   0.085000, 1558.463809
   0.086667, 1585.548223
   0.088333, 1612.431115
   0.090000, 1639.229277
   0.091667, 1665.942710
   0.093333, 1692.571414
   0.095000, 1719.115388
   0.096667, 1745.574633
   0.098333, 1771.949150
   0.100000, 1798.238936
   0.101667, 1824.443994
   0.103333, 1849.945574
   0.105000, 1875.283114
   0.106667, 1900.533750
   0.108333, 1925.697482
   0.110000, 1950.774311
   0.111667, 1975.764235
   0.113333, 2000.667256
   0.115000, 2025.483373
   0.116667, 2050.212585
   0.118333, 2074.854895
   0.120000, 2098.966807
   0.121667, 2122.939747
   0.123333, 2146.829285
   0.125000, 2170.635421
   0.126667, 2194.358154
   0.128333, 2217.997484
   0.130000, 2241.553412
   0.131667, 2265.025937
   0.133333, 2288.415059
   0.135000, 2311.720779
   0.136667, 2334.514030
   0.138333, 2357.173552
   0.140000, 2379.753109
   0.141667, 2402.252699
   0.143333, 2424.672324
   0.145000, 2447.011982
   0.146667, 2469.271675
   0.148333, 2491.451402
   0.150000, 2513.551163
   0.151667, 2535.570958
   0.153333, 2557.096496
   0.155000, 2578.493520
   0.156667, 2599.813944
   0.158333, 2621.057770
   0.160000, 2642.224997
   0.161667, 2663.315625
   0.163333, 2684.329655
   0.165000, 2705.267085
   0.166667, 2726.127916
   0.168333, 2746.912148
   0.170000, 2767.220521
   0.171667, 2787.405552
   0.173333, 2807.517277
   0.175000, 2827.555695
   0.176667, 2847.520807
   0.178333, 2867.412613
   0.180000, 2887.231112
   0.181667, 2906.976305
   0.183333, 2926.648191
   0.185000, 2946.246771
   0.186667, 2963.749827
   0.188333, 2980.904010
   0.190000, 2997.960456
   0.191667, 3014.919166
   0.193333, 3031.780139
   0.195000, 3048.543375
   0.196667, 3065.208875
   0.198333, 3081.776638
   0.200000, 3098.246664
   0.201667, 3114.618953
   0.203333, 3130.398295
   0.205000, 3146.022386
   0.206667, 3161.553312
   0.208333, 3176.991073
   0.210000, 3192.335669
   0.211667, 3207.587101
   0.213333, 3222.745367
   0.215000, 3237.810469
   0.216667, 3252.782406
   0.218333, 3267.661177
   0.220000, 3282.054413
   0.221667, 3296.310683
   0.223333, 3310.479284
   0.225000, 3324.560216
   0.226667, 3338.553479
   0.228333, 3352.459072
   0.230000, 3366.276996
   0.231667, 3380.007251
   0.233333, 3393.649837
   0.235000, 3407.204753
   0.236667, 3420.309883
   0.238333, 3433.287079
   0.240000, 3446.181844
   0.241667, 3458.994180
   0.243333, 3471.724087
   0.245000, 3484.371563
   0.246667, 3496.936610
   0.248333, 3509.419227
   0.250000, 3521.819414
   0.251667, 3534.137171
   0.253333, 3546.039343
   0.255000, 3557.822200
   0.256667, 3569.527615
   0.258333, 3581.155588
   0.260000, 3592.706119
   0.261667, 3604.179209
   0.263333, 3615.574858
   0.265000, 3626.893065
   0.266667, 3638.133830
   0.268333, 3649.297154
   0.270000, 3660.077529
   0.271667, 3670.746798
   0.273333, 3681.343367
   0.275000, 3691.867237
   0.276667, 3702.318408
   0.278333, 3712.696881
   0.280000, 3723.002654
   0.281667, 3733.235729
   0.283333, 3743.396105
   0.285000, 3753.483782
   0.286667, 3763.226251
   0.288333, 3772.866314
   0.290000, 3782.438249
   0.291667, 3791.942057
   0.293333, 3801.377737
   0.295000, 3810.745289
   0.296667, 3820.044714
   0.298333, 3829.276011
   0.300000, 3838.439181
   0.301667, 3847.534223
   0.303333, 3856.467636
   0.305000, 3865.325555
   0.306667, 3874.119908
   0.308333, 3882.850695
   0.310000, 3891.517915
   0.311667, 3900.121569
   0.312369, 3903.729595
   0.314036, 3912.107720
   0.315703, 3920.424288
   0.317369, 3928.679300
   0.319036, 3936.784406
   0.320703, 3944.634594
   0.322369, 3952.427442
   0.324036, 3960.162949
   0.325703, 3967.841114
   0.327369, 3975.461939
   0.329036, 3983.025423
   0.330703, 3990.531566
   0.332369, 3997.980367
   0.334036, 4005.371828
   0.335703, 4012.569430
   0.337369, 4019.411028
   0.339036, 4026.201976
   0.340703, 4032.942277
   0.342369, 4039.631928
   0.344036, 4046.270931
   0.345703, 4052.859285
   0.347369, 4059.396990
   0.349036, 4065.884047
   0.350703, 4072.320455
   0.352369, 4078.564024
   0.354036, 4084.445908
   0.355703, 4090.284171
   0.357369, 4096.078814
   0.359036, 4101.829838
   0.360703, 4107.537241
   0.362369, 4113.201023
   0.364036, 4118.821186
   0.365703, 4124.397728
   0.367369, 4129.930650
   0.368518, 4133.719790
   0.370185, 4137.103042
   0.371852, 4140.469430
   0.373518, 4143.818953
   0.375185, 4147.151611
   0.376852, 4150.467405
   0.378518, 4153.766335
   0.380185, 4157.048400
   0.381852, 4160.313600
   0.383518, 4163.561936
   0.385185, 4166.793408
   0.386852, 4168.425821
   0.388518, 4170.053718
   0.390185, 4171.677098
   0.391852, 4173.295961
   0.393518, 4174.910308
   0.395185, 4175.676748
   0.396852, 4176.442061
   0.398518, 4177.206245
   0.400185, 4177.969301
   0.401852, 4178.731228
   0.403518, 4178.614107
   0.405185, 4178.496984
   0.406852, 4178.379859
   0.408518, 4178.262733
   0.410185, 4178.145606
   0.410185, 3841.203051
   1.604481, 3839.544059
   2.823272, 3843.379863
   4.081386, 3800.397292
   5.429985, 3666.373319
   6.915721, 3540.970759
   8.560390, 3429.091042
  10.397371, 3317.419547
  12.485334, 3202.097703
