alpha, CL
   0.000000,    0.048610
   1.578947,    0.105898
   3.157895,    0.163186
   4.736842,    0.220475
   6.315789,    0.277763
   7.894737,    0.335052
   9.473684,    0.392340
  11.052632,    0.449628
  12.631579,    0.506891
  14.210526,    0.563997
  15.789474,    0.620762
  17.368421,    0.676966
  18.947368,    0.732355
  20.526316,    0.786639
  22.105263,    0.839493
  23.684211,    0.890556
  25.263158,    0.939435
  26.842105,    0.985697
  28.421053,    1.028879
  30.000000,    1.068480
