alpha, CL
   0.000000,    0.409849
   1.578947,    0.467137
   3.157895,    0.524426
   4.736842,    0.581714
   6.315789,    0.639002
   7.894737,    0.696291
   9.473684,    0.753579
  11.052632,    0.810867
  12.631579,    0.868130
  14.210526,    0.925236
  15.789474,    0.982001
  17.368421,    1.038205
  18.947368,    1.093594
  20.526316,    1.147878
  22.105263,    1.200732
  23.684211,    1.251795
  25.263158,    1.300674
  26.842105,    1.346936
  28.421053,    1.390118
  30.000000,    1.429719
