alpha, CL
   0.000000,    0.299522
   1.578947,    0.356811
   3.157895,    0.414099
   4.736842,    0.471387
   6.315789,    0.528676
   7.894737,    0.585964
   9.473684,    0.643253
  11.052632,    0.700541
  12.631579,    0.757804
  14.210526,    0.814910
  15.789474,    0.871675
  17.368421,    0.927879
  18.947368,    0.983268
  20.526316,    1.037552
  22.105263,    1.090405
  23.684211,    1.141469
  25.263158,    1.190347
  26.842105,    1.236610
  28.421053,    1.279792
  30.000000,    1.319392
