CLh_e, CDh_e
  -0.440920,    0.012820
  -0.429669,    0.012628
  -0.417221,    0.012450
  -0.403583,    0.012286
  -0.388763,    0.012140
  -0.372768,    0.012007
  -0.355603,    0.011888
  -0.337273,    0.011779
  -0.317773,    0.011682
  -0.291729,    0.011602
  -0.275022,    0.011610
  -0.257142,    0.011642
  -0.238084,    0.011682
  -0.217842,    0.011743
  -0.196410,    0.011866
  -0.173784,    0.012030
  -0.149952,    0.012200
  -0.124907,    0.012386
  -0.098641,    0.012595
  -0.071145,    0.012906
  -0.042407,    0.013229
  -0.012415,    0.013565
   0.018841,    0.013912
   0.051163,    0.014305
   0.083601,    0.014904
   0.115188,    0.015611
   0.145304,    0.016646
   0.174008,    0.020783
   0.201889,    0.023291
