CLh_e, CDh_e
  -0.316036,    0.012820
  -0.312954,    0.012628
  -0.309906,    0.012450
  -0.306882,    0.012286
  -0.303870,    0.012140
  -0.300860,    0.012007
  -0.297840,    0.011888
  -0.294799,    0.011779
  -0.291726,    0.011682
  -0.283426,    0.011598
  -0.285206,    0.011638
  -0.286920,    0.011724
  -0.288555,    0.011866
  -0.290102,    0.012134
  -0.291547,    0.012409
  -0.292881,    0.012871
  -0.294090,    0.013368
  -0.295165,    0.014134
  -0.296093,    0.015133
  -0.296862,    0.020023
  -0.297463,    0.021419
