CLh_e, CDh_e
  -0.262157,    0.012820
  -0.270140,    0.012628
  -0.278204,    0.012450
  -0.286330,    0.012286
  -0.294499,    0.012140
  -0.302693,    0.012007
  -0.310892,    0.011888
  -0.319079,    0.011779
  -0.327234,    0.011682
  -0.330300,    0.011708
  -0.343148,    0.011798
  -0.355910,    0.012019
  -0.368565,    0.012324
  -0.381097,    0.012782
  -0.393486,    0.013339
  -0.405716,    0.014245
  -0.417767,    0.016218
  -0.429622,    0.021155
