eta, basic load
   0.000000, 23402.710229
   0.020408, 23048.265872
   0.040816, 23015.496411
   0.061224, 22952.732611
   0.081633, 22857.636937
   0.102041, 22729.012677
   0.122449, 22566.202688
   0.142857, 22368.839987
   0.163265, 22136.720597
   0.183673, 21869.735401
   0.204082, 21567.839452
   0.224490, 21231.054053
   0.244898, 20859.508701
   0.265306, 20453.544648
   0.285714, 20013.929709
   0.306122, 19542.313078
   0.326531, 19030.131022
   0.346939, 18428.101174
   0.367347, 17986.513638
   0.387755, 17442.078750
   0.408163, 16885.253867
   0.428571, 16317.529653
   0.448980, 15740.546868
   0.469388, 15155.943993
   0.489796, 14565.306871
   0.510204, 13969.996661
   0.530612, 13371.475596
   0.551020, 12771.272827
   0.571429, 12170.686840
   0.591837, 11570.951730
   0.612245, 10973.241158
   0.632653, 10378.671701
   0.653061, 9788.305283
   0.673469, 9203.150385
   0.693878, 8624.161637
   0.714286, 8052.237199
   0.734694, 7488.213014
   0.755102, 6932.852454
   0.775510, 6386.828953
   0.795918, 5850.697577
   0.816327, 5324.848609
   0.836735, 4809.430815
   0.857143, 4304.221699
   0.877551, 3808.400790
   0.897959, 3320.135578
   0.918367, 2835.778578
   0.938776, 2348.170791
   0.959184, 1842.511542
   0.979592, 1282.389417
   1.000000,    0.000000
