alpha_t, CL 
  -4.000000,   -0.276521
  -3.794872,   -0.274255
  -3.589744,   -0.269910
  -3.384615,   -0.264131
  -3.179487,   -0.260799
  -2.974359,   -0.259619
  -2.769231,   -0.258366
  -2.564103,   -0.256951
  -2.358974,   -0.255107
  -2.153846,   -0.253107
  -1.948718,   -0.250839
  -1.743590,   -0.248429
  -1.538462,   -0.245998
  -1.333333,   -0.243498
  -1.128205,   -0.240815
  -0.923077,   -0.238082
  -0.717949,   -0.235194
  -0.512821,   -0.232378
  -0.307692,   -0.229352
  -0.102564,   -0.226353
   0.102564,   -0.223156
   0.307692,   -0.219876
   0.512821,   -0.216633
   0.717949,   -0.213177
   0.923077,   -0.209637
   1.128205,   -0.206070
   1.333333,   -0.202697
   1.538462,   -0.199296
   1.743590,   -0.195870
   1.948718,   -0.192528
   2.153846,   -0.189376
   2.358974,   -0.186391
   2.564103,   -0.183503
   2.769231,   -0.180718
   2.974359,   -0.178013
   3.179487,   -0.175282
   3.384615,   -0.172570
   3.589744,   -0.169602
   3.794872,   -0.166557
   4.000000,   -0.163463
