alpha_t, CL 
  -6.622119,   -0.355375
  -6.468177,   -0.347114
  -6.327496,   -0.339564
  -6.195142,   -0.332462
  -6.063299,   -0.325386
  -5.931738,   -0.318326
  -5.800710,   -0.311295
  -5.669939,   -0.304277
  -5.539723,   -0.297289
  -5.409739,   -0.290313
  -5.280330,   -0.283368
  -5.151128,   -0.276435
  -5.022523,   -0.269533
  -4.894099,   -0.262641
  -4.766291,   -0.255783
  -4.638641,   -0.248932
  -4.511626,   -0.242116
  -4.384744,   -0.235307
  -4.258514,   -0.228533
  -4.132394,   -0.221764
  -4.006944,   -0.215032
  -3.881579,   -0.208305
  -3.756902,   -0.201614
  -3.632286,   -0.194926
  -3.508373,   -0.188276
  -3.384498,   -0.181629
  -3.261341,   -0.175020
  -3.138206,   -0.168412
  -3.015791,   -0.161842
  -2.893403,   -0.155274
  -2.771704,   -0.148743
  -2.650054,   -0.142215
  -2.529063,   -0.135722
  -2.408140,   -0.129233
  -2.287847,   -0.122777
  -2.167642,   -0.116326
  -2.048036,   -0.109908
  -1.928538,   -0.103495
  -1.809609,   -0.097112
  -1.677418,   -0.090018
