alpha_t, CL 
  -6.622119,   -0.849418
  -6.468177,   -0.841157
  -6.327496,   -0.833607
  -6.195142,   -0.826505
  -6.063299,   -0.819429
  -5.931738,   -0.812369
  -5.800710,   -0.805337
  -5.669939,   -0.798320
  -5.539723,   -0.791332
  -5.409739,   -0.784356
  -5.280330,   -0.777411
  -5.151128,   -0.770478
  -5.022523,   -0.763576
  -4.894099,   -0.756684
  -4.766291,   -0.749825
  -4.638641,   -0.742975
  -4.511626,   -0.736159
  -4.384744,   -0.729350
  -4.258514,   -0.722576
  -4.132394,   -0.715807
  -4.006944,   -0.709075
  -3.881579,   -0.702347
  -3.756902,   -0.695657
  -3.632286,   -0.688969
  -3.508373,   -0.682319
  -3.384498,   -0.675672
  -3.261341,   -0.669062
  -3.138206,   -0.662454
  -3.015791,   -0.655885
  -2.893403,   -0.649317
  -2.771704,   -0.642786
  -2.650054,   -0.636258
  -2.529063,   -0.629765
  -2.408140,   -0.623275
  -2.287847,   -0.616820
  -2.167642,   -0.610369
  -2.048036,   -0.603951
  -1.928538,   -0.597538
  -1.809609,   -0.591155
  -1.677418,   -0.584061
