Speed(CAS), Altitude
 118.877129,    0.000000
 118.877131,  328.083990
 118.877131,  656.167979
 118.877131,  984.251969
 118.877131, 1312.335958
 118.877131, 1640.419948
 118.877131, 1968.503937
 118.877131, 2296.587927
 118.877131, 2624.671916
 118.877131, 2952.755906
 118.877131, 3280.839895
 118.877131, 3608.923885
 118.877131, 3937.007874
 118.877131, 4265.091864
 118.877131, 4593.175853
 118.877131, 4921.259843
 118.877131, 5249.343832
 118.877131, 5577.427822
 118.877131, 5905.511811
 118.877131, 6233.595801
 118.877131, 6561.679790
 118.877131, 6889.763780
 118.877131, 7217.847769
 118.877131, 7545.931759
 118.877131, 7874.015748
 118.877131, 8202.099738
 118.877131, 8530.183727
 118.877131, 8858.267717
 118.877131, 9186.351706
 118.877131, 9514.435696
 118.877131, 9842.519685
 118.877131, 10170.603675
 118.877131, 10498.687664
 118.877131, 10826.771654
 118.877131, 11154.855643
 118.877131, 11482.939633
 118.877131, 11811.023622
 118.877131, 12139.107612
 118.877131, 12467.191601
 118.877131, 12795.275591
 118.877131, 13123.359580
 118.877131, 13451.443570
 118.877131, 13779.527559
 118.877131, 14107.611549
 118.877131, 14435.695538
 118.877131, 14763.779528
 118.877131, 15091.863517
 118.877131, 15419.947507
 118.877131, 15748.031496
 118.877131, 16076.115486
 118.877131, 16404.199475
 118.877131, 16732.283465
 118.877131, 17060.367454
 118.877131, 17388.451444
 118.877131, 17716.535433
 118.877131, 18044.619423
 118.877131, 18372.703412
 118.877131, 18700.787402
 118.877131, 19028.871391
 118.877131, 19356.955381
 118.877131, 19685.039370
 118.877131, 20013.123360
 118.877131, 20341.207349
 118.877131, 20669.291339
 118.877131, 20997.375328
 118.877131, 21325.459318
 118.877131, 21653.543307
 118.877131, 21981.627297
 118.877131, 22309.711286
 118.877131, 22637.795276
 118.877131, 22965.879265
 118.877131, 23293.963255
 118.877131, 23622.047244
 118.877131, 23950.131234
 118.877131, 24278.215223
 118.877131, 24606.299213
 118.877131, 24934.383202
 118.877131, 25262.467192
 118.877131, 25590.551181
 118.877131, 25918.635171
 118.877131, 26246.719160
 118.877131, 26574.803150
 118.877131, 26902.887139
 143.552419, 27230.971129
 147.566716, 26902.887139
 151.390045, 26574.803150
 154.740696, 26246.719160
 157.602130, 25918.635171
 160.237118, 25590.551181
 162.919737, 25262.467192
 165.365097, 24934.383202
 167.852930, 24606.299213
 170.092513, 24278.215223
 172.663196, 23950.131234
 174.683478, 23622.047244
 177.035333, 23293.963255
 179.122347, 22965.879265
 180.935853, 22637.795276
 183.084485, 22309.711286
 184.954020, 21981.627297
 186.850326, 21653.543307
 188.773566, 21325.459318
 190.403156, 20997.375328
 192.377702, 20669.291339
 194.052805, 20341.207349
 195.749332, 20013.123360
 197.467407, 19685.039370
 199.207154, 19356.955381
 200.629477, 19028.871391
 202.409816, 18700.787402
 203.866702, 18372.703412
 205.339441, 18044.619423
 206.828119, 17716.535433
 208.332822, 17388.451444
 209.853634, 17060.367454
 211.390643, 16732.283465
 212.943934, 16404.199475
 214.513593, 16076.115486
 215.728629, 15748.031496
 217.328025, 15419.947507
 218.566426, 15091.863517
 219.814955, 14763.779528
 221.073660, 14435.695538
 222.342587, 14107.611549
 223.621783, 13779.527559
 224.911295, 13451.443570
 225.813635, 13123.359580
 227.120551, 12795.275591
 228.033626, 12467.191601
 229.358078, 12139.107612
 230.693055, 11811.023622
 231.624091, 11482.939633
 232.976819, 11154.855643
 233.918800, 10826.771654
 235.289415, 10498.687664
 236.242422, 10170.603675
 237.199225, 9842.519685
 237.724493, 9514.435696
 238.246530, 9186.351706
 239.207692, 8858.267717
 239.726708, 8530.183727
 240.691900, 8202.099738
 241.207807, 7874.015748
 242.176998, 7545.931759
 242.689708, 7217.847769
 243.662865, 6889.763780
 244.172290, 6561.679790
 245.149381, 6233.595801
 245.655431, 5905.511811
 246.636423, 5577.427822
 247.621197, 5249.343832
 248.123869, 4921.259843
 248.622902, 4593.175853
 249.118258, 4265.091864
 249.609901, 3937.007874
 250.097794, 3608.923885
 250.581900, 3280.839895
 251.062181, 2952.755906
 251.538600, 2624.671916
 252.011121, 2296.587927
 252.479704, 1968.503937
 252.944314, 1640.419948
 253.404912, 1312.335958
 253.861460,  984.251969
 254.313921,  656.167979
 254.762256,  328.083990
 255.206424,    0.000000
