Ground distance, CD
50844.990303,    0.219608
51060.335974,    0.219608
51275.648006,    0.219608
51490.924712,    0.219608
51706.164420,    0.219608
51921.365555,    0.219608
52136.526700,    0.219608
52351.646671,    0.219608
52566.724560,    0.219608
52781.759780,    0.219608
52996.752085,    0.219608
53211.701585,    0.219608
53426.608736,    0.219608
53641.474318,    0.219608
53856.299398,    0.219608
54071.085280,    0.219608
54285.833447,    0.219608
54500.545492,    0.219608
54715.223046,    0.219608
54929.867705,    0.219607
55144.480957,    0.219607
55359.064119,    0.219607
55573.618277,    0.219607
55788.144239,    0.219607
56002.642504,    0.219607
56217.113239,    0.219607
56431.556273,    0.219607
56645.971115,    0.219607
56860.356970,    0.219607
57074.712784,    0.219607
57289.037292,    0.219607
57503.329079,    0.219607
57717.586642,    0.219607
57931.808466,    0.219607
58145.993087,    0.219607
58360.139161,    0.219606
58574.245527,    0.219606
58788.311256,    0.219606
59002.335694,    0.219606
59216.318490,    0.219606
59430.259611,    0.219606
59644.159340,    0.219606
59858.018265,    0.219606
60071.837246,    0.219606
60285.617378,    0.219606
60499.359941,    0.219606
60713.066336,    0.219605
60926.738028,    0.219605
61140.376470,    0.219605
61353.983048,    0.219605
61567.559011,    0.219605
61781.105418,    0.219605
61994.623092,    0.219605
62208.112584,    0.219605
62421.574153,    0.219604
62635.007751,    0.219604
62848.413035,    0.219604
63061.789380,    0.219604
63275.135913,    0.219604
63488.451554,    0.219604
63701.735069,    0.219603
63914.985127,    0.219603
64128.200361,    0.219603
64341.379436,    0.219603
64554.521104,    0.219602
64767.624268,    0.219602
64980.688028,    0.219602
65193.711719,    0.219602
65406.694949,    0.219601
65619.637605,    0.219601
65832.539867,    0.219601
66045.402189,    0.219600
66258.225284,    0.219600
66471.010086,    0.219600
66683.757709,    0.219599
66896.469392,    0.219599
67109.146443,    0.219598
67321.790180,    0.219598
67534.401869,    0.219597
67746.982668,    0.219597
67959.533575,    0.219596
68172.055382,    0.219596
68384.548643,    0.219595
68597.013650,    0.219594
68809.450420,    0.219593
69021.858700,    0.219592
69234.237979,    0.219592
69446.587515,    0.219591
69658.906370,    0.219590
69871.193458,    0.219588
70083.447595,    0.219587
70295.667555,    0.219586
70507.852128,    0.219584
70720.000175,    0.219583
70932.110685,    0.219581
71144.182816,    0.219579
71356.215938,    0.219577
71568.209656,    0.219574
71780.163833,    0.219572
71992.078592,    0.219569
72203.954309,    0.219565
72415.791595,    0.219561
72627.591265,    0.219557
72839.354303,    0.219552
73051.081811,    0.219547
73262.774960,    0.219540
73474.434936,    0.219532
73686.062882,    0.219524
73897.659852,    0.219513
74109.226756,    0.219501
74320.764321,    0.219485
74532.273063,    0.219467
74743.753257,    0.219444
74955.204932,    0.219415
75166.627870,    0.219378
75378.021615,    0.219329
75589.385494,    0.219263
75800.718653,    0.219170
76012.020089,    0.219035
76223.288696,    0.218828
76434.523306,    0.218485
76512.011749,    0.218300
