Mach, Climb Angle
   0.217300,    3.238977
   0.222984,    3.332945
   0.228668,    3.412862
   0.234352,    3.480105
   0.240035,    3.535742
   0.245719,    3.579597
   0.251403,    3.614240
   0.257087,    3.639333
   0.262771,    3.657198
   0.268455,    3.666245
   0.274138,    3.668944
   0.279822,    3.665334
   0.285506,    3.655943
   0.291190,    3.641193
   0.296874,    3.621208
   0.302558,    3.597055
   0.308241,    3.568433
   0.313925,    3.536407
   0.319609,    3.499144
   0.325293,    3.458908
   0.330977,    3.415834
   0.336661,    3.367666
   0.342344,    3.316949
   0.348028,    3.263122
   0.353712,    3.205678
   0.359396,    3.146421
   0.365080,    3.083125
   0.370764,    3.018442
   0.376447,    2.950162
   0.382131,    2.880020
   0.387815,    2.807891
   0.393499,    2.732724
   0.399183,    2.657121
   0.404867,    2.579019
   0.410551,    2.499225
   0.416234,    2.419616
   0.421918,    2.336084
   0.427602,    2.250831
   0.433286,    2.164518
   0.438970,    2.075662
   0.444654,    1.983085
   0.450337,    1.889723
   0.456021,    1.795963
   0.461705,    1.700420
   0.467389,    1.603795
   0.473073,    1.510307
   0.478757,    1.418503
   0.484440,    1.333134
   0.490124,    1.244981
   0.495808,    1.161140
   0.501492,    1.076955
   0.507176,    0.993435
   0.512860,    0.909104
   0.518543,    0.822003
   0.524227,    0.732090
   0.529911,    0.641084
   0.535595,    0.548763
   0.541279,    0.455396
   0.546963,    0.360884
   0.552646,    0.265356
   0.558330,    0.165686
   0.564014,    0.064799
   0.569698,   -0.037116
   0.575382,   -0.140047
   0.581066,   -0.244005
   0.586750,   -0.348982
   0.592433,   -0.454989
   0.598117,   -0.562024
   0.603801,   -0.671964
   0.609485,   -0.784122
   0.615169,   -0.897342
   0.620853,   -1.011624
   0.626536,   -1.126969
   0.632220,   -1.243378
   0.637904,   -1.360851
   0.643588,   -1.479388
   0.649272,   -1.598991
   0.654956,   -1.719660
   0.660639,   -1.841396
   0.666323,   -1.966078
   0.672007,   -2.092721
   0.677691,   -2.220457
   0.683375,   -2.349287
   0.689059,   -2.479213
   0.694742,   -2.610234
   0.700426,   -2.742353
   0.706110,   -2.875571
   0.711794,   -3.009887
   0.717478,   -3.145305
   0.723162,   -3.281823
   0.728845,   -3.419445
   0.734529,   -3.558171
   0.740213,   -3.698003
   0.745897,   -3.838941
   0.751581,   -3.981991
   0.757265,   -4.127592
   0.762948,   -4.274324
   0.768632,   -4.422188
   0.774316,   -4.571185
   0.780000,   -4.721319
