Time, Flightpath Angle
  52.000000,    5.148597
  52.500000,    5.147215
  53.000000,    5.145843
  53.500000,    5.144480
  54.000000,    5.143128
  54.500000,    5.141785
  55.000000,    5.140453
  55.500000,    5.139132
  56.000000,    5.137822
  56.500000,    5.136523
  57.000000,    5.135235
  57.500000,    5.133958
  58.000000,    5.132693
  58.500000,    5.131438
  59.000000,    5.130196
  59.500000,    5.128964
  60.000000,    5.127744
  60.500000,    5.126535
  61.000000,    5.125338
  61.500000,    5.124152
  62.000000,    5.122977
  62.500000,    5.121814
  63.000000,    5.120662
  63.500000,    5.119521
  64.000000,    5.118392
  64.500000,    5.117273
  65.000000,    5.116165
  65.500000,    5.115069
  66.000000,    5.113983
  66.500000,    5.112908
  67.000000,    5.111844
  67.500000,    5.110791
  68.000000,    5.109748
  68.500000,    5.108716
  69.000000,    5.107694
  69.500000,    5.106682
  70.000000,    5.105681
  70.500000,    5.104690
  71.000000,    5.103709
  71.500000,    5.102737
  72.000000,    5.101776
  72.500000,    5.100825
  73.000000,    5.099883
  73.500000,    5.098951
  74.000000,    5.098029
  74.500000,    5.097116
  75.000000,    5.096212
  75.500000,    5.095318
  76.000000,    5.094432
  76.500000,    5.093556
  77.000000,    5.092689
  77.500000,    5.091831
  78.000000,    5.090981
  78.500000,    5.090141
  79.000000,    5.089309
  79.500000,    5.088485
  80.000000,    5.087670
  80.500000,    5.086864
  81.000000,    5.086066
  81.500000,    5.085276
  82.000000,    5.084494
  82.500000,    5.083720
  83.000000,    5.082954
  83.500000,    5.082196
  84.000000,    5.081446
  84.500000,    5.080704
  85.000000,    5.079969
  85.500000,    4.683713
  86.000000,    3.807814
  86.500000,    2.925695
  87.000000,    2.180276
  87.500000,    1.591980
  88.000000,    1.142170
  88.500000,    0.803669
  89.000000,    0.551056
  89.500000,    0.363410
  90.000000,    0.224414
  90.500000,    0.121663
  91.000000,    0.045845
  91.500000,   -0.009983
  92.000000,   -0.050981
  92.500000,   -0.080979
  93.000000,   -0.102816
  93.500000,   -0.118598
  94.000000,   -0.129888
  94.500000,   -0.137844
  95.000000,   -0.143325
  95.500000,   -0.146971
  96.000000,   -0.149256
  96.500000,   -0.150532
  97.000000,   -0.151062
  97.500000,   -0.151041
  98.000000,   -0.150613
  98.500000,   -0.149886
  99.000000,   -0.148942
  99.500000,   -0.147838
 100.000000,   -0.146621
 100.500000,   -0.145323
 101.000000,   -0.143969
 101.500000,   -0.142577
 102.000000,   -0.141161
 102.500000,   -0.139731
 103.000000,   -0.138294
 103.500000,   -0.136857
 104.000000,   -0.135423
 104.500000,   -0.133995
 105.000000,   -0.132575
 105.500000,   -0.131165
 106.000000,   -0.129767
 106.500000,   -0.128380
 107.000000,   -0.127006
 107.500000,   -0.125646
 108.000000,   -0.124298
 108.500000,   -0.122964
 109.000000,   -0.121643
 109.500000,   -0.120336
 110.000000,   -0.119042
 110.500000,   -0.117762
 111.000000,   -0.116495
 111.500000,   -0.115241
 112.000000,   -0.114001
 112.500000,   -0.112773
 113.000000,   -0.111558
 113.500000,   -0.110356
 114.000000,   -0.109167
 114.500000,   -0.107990
 115.000000,   -0.106826
 115.500000,   -0.105674
 116.000000,   -0.104533
 116.500000,   -0.103405
 117.000000,   -0.102289
 117.500000,   -0.101185
 118.000000,   -0.100092
 118.500000,   -0.099010
 119.000000,   -0.097940
 119.500000,   -0.096881
 120.000000,   -0.095833
 120.500000,   -0.094797
 121.000000,   -0.093771
 121.500000,   -0.092755
 122.000000,   -0.091751
 122.500000,   -0.090757
 123.000000,   -0.089773
 123.500000,   -0.088799
 124.000000,   -0.087836
 124.500000,   -0.086883
 125.000000,   -0.085940
 125.500000,   -0.085006
 126.000000,   -0.084082
 126.500000,   -0.083168
 127.000000,   -0.082264
 127.500000,   -0.081368
 128.000000,   -0.080482
 128.500000,   -0.079606
 129.000000,   -0.078738
 129.500000,   -0.077879
 130.000000,   -0.077030
 130.500000,   -0.076189
 131.000000,   -0.075357
 131.500000,   -0.074533
 132.000000,   -0.073718
 132.500000,   -0.072912
 133.000000,   -0.072113
 133.500000,   -0.071323
 134.000000,   -0.070541
 134.500000,   -0.069768
 135.000000,   -0.069002
 135.500000,   -0.068244
 136.000000,   -0.067494
 136.500000,   -0.066752
 137.000000,   -0.066017
 137.500000,   -0.065290
 138.000000,   -0.064570
 138.500000,   -0.063858
 139.000000,   -0.063153
 139.500000,   -0.062456
 140.000000,   -0.061765
 140.500000,   -0.061082
 141.000000,   -0.060406
 141.500000,   -0.059736
 142.000000,   -0.059074
 142.500000,   -0.058418
 143.000000,   -0.057769
 143.500000,   -0.057127
 144.000000,   -0.056491
 144.500000,   -0.055862
 145.000000,   -0.055239
 145.500000,   -0.054623
 146.000000,   -0.054012
 146.500000,   -0.053409
 147.000000,   -0.052811
 147.500000,   -0.052219
 148.000000,   -0.051634
 148.500000,   -0.051054
 149.000000,   -0.050481
 149.500000,   -0.049913
 150.000000,   -0.049351
 150.500000,   -0.048795
 151.000000,   -0.048244
 151.500000,   -0.047700
 152.000000,   -0.047160
 152.500000,   -0.046626
 153.000000,   -0.046098
 153.500000,   -0.045575
 154.000000,   -0.045057
 154.500000,   -0.044545
 155.000000,   -0.044038
 155.500000,   -0.043536
 156.000000,   -0.043039
 156.500000,   -0.042547
 157.000000,   -0.042061
 157.500000,   -0.041579
 158.000000,   -0.041102
 158.500000,   -0.040630
 159.000000,   -0.040162
 159.500000,   -0.039700
 160.000000,   -0.039242
 160.500000,   -0.038789
 161.000000,   -0.038340
 161.500000,   -0.037897
 162.000000,   -0.037457
 162.500000,   -0.037022
 163.000000,   -0.036592
 163.500000,   -0.036165
 164.000000,   -0.035744
 164.500000,   -0.035326
 165.000000,   -0.034913
 165.500000,   -0.034504
 166.000000,   -0.034099
 166.500000,   -0.033698
 167.000000,   -0.033301
 167.500000,   -0.032908
 168.000000,   -0.032520
 168.500000,   -0.032135
 169.000000,   -0.031754
 169.500000,   -0.031377
 170.000000,   -0.031004
 170.500000,   -0.030635
 171.000000,   -0.030269
 171.500000,   -0.029907
 172.000000,   -0.029549
 172.500000,   -0.029195
 173.000000,   -0.028844
 173.500000,   -0.028496
 174.000000,   -0.028152
 174.500000,   -0.027812
 175.000000,   -0.027475
 175.500000,   -0.027142
 176.000000,   -0.026812
 176.500000,   -0.026485
 177.000000,   -0.026161
 177.500000,   -0.025841
 178.000000,   -0.025525
 178.500000,   -0.025211
 179.000000,   -0.024900
 179.500000,   -0.024593
 180.000000,   -0.024289
