Time, Flightpath Angle
   0.000000,    0.000000
   0.500000,    0.000008
   1.000000,    0.000035
   1.500000,    0.000081
   2.000000,    0.000141
   2.500000,    0.000212
   3.000000,    0.000290
   3.500000,    0.000372
   4.000000,    0.000456
   4.500000,    0.000542
   5.000000,    0.000627
   5.500000,    0.000711
   6.000000,    0.000794
   6.500000,    0.000875
   7.000000,    0.000955
   7.500000,    0.001034
   8.000000,    0.001110
   8.500000,    0.001184
   9.000000,    0.001257
   9.500000,    0.001328
  10.000000,    0.001397
  10.500000,    0.001464
  11.000000,    0.001529
  11.500000,    0.001592
  12.000000,    0.001654
  12.500000,    0.001714
  13.000000,    0.001773
  13.500000,    0.001830
  14.000000,    0.001885
  14.500000,    0.001939
  15.000000,    0.001991
  15.500000,    0.512882
  16.000000,    1.439143
  16.500000,    2.318354
  17.000000,    3.032103
  17.500000,    3.577852
  18.000000,    3.984808
  18.500000,    4.285374
  19.000000,    4.506940
  19.500000,    4.670624
  20.000000,    4.792096
  20.500000,    4.882790
  21.000000,    4.950993
  21.500000,    5.002703
  22.000000,    5.042262
  22.500000,    5.072822
  23.000000,    5.096672
  23.500000,    5.115482
  24.000000,    5.130472
  24.500000,    5.142540
  25.000000,    5.152345
  25.500000,    5.160377
  26.000000,    5.167002
  26.500000,    5.172493
  27.000000,    5.177058
  27.500000,    5.180857
  28.000000,    5.184012
  28.500000,    5.186621
  29.000000,    5.188760
  29.500000,    5.190491
  30.000000,    5.191866
  30.500000,    5.192927
  31.000000,    5.193710
  31.500000,    5.194245
  32.000000,    5.194559
  32.500000,    5.194674
  33.000000,    5.194612
  33.500000,    5.194390
  34.000000,    5.194025
  34.500000,    5.193530
  35.000000,    5.192919
  35.500000,    5.192204
  36.000000,    5.191396
  36.500000,    5.190503
  37.000000,    5.189535
  37.500000,    5.188500
  38.000000,    5.187405
  38.500000,    5.186256
  39.000000,    5.185061
  39.500000,    5.183824
  40.000000,    5.182550
  40.500000,    5.181244
  41.000000,    5.179911
  41.500000,    5.178553
  42.000000,    5.177174
  42.500000,    5.175779
  43.000000,    5.174368
  43.500000,    5.172946
  44.000000,    5.171515
  44.500000,    5.170076
  45.000000,    5.168631
  45.500000,    5.167183
  46.000000,    5.165733
  46.500000,    5.164283
  47.000000,    5.162833
  47.500000,    5.161385
  48.000000,    5.159941
  48.500000,    5.158500
  49.000000,    5.157065
  49.500000,    5.155635
  50.000000,    5.154212
  50.500000,    5.152797
  51.000000,    5.151388
  51.500000,    5.149989
