Mach, Specific Range
   0.218431,    0.225424
   0.221265,    0.236485
   0.224099,    0.246404
   0.226933,    0.251979
   0.229767,    0.258007
   0.232601,    0.262500
   0.235435,    0.266440
   0.238268,    0.270645
   0.241102,    0.274577
   0.243936,    0.277996
   0.246770,    0.281629
   0.249604,    0.285488
   0.252438,    0.288676
   0.255272,    0.291634
   0.258106,    0.294763
   0.260940,    0.298073
   0.263774,    0.300980
   0.266608,    0.303267
   0.269442,    0.305680
   0.272275,    0.308226
   0.275109,    0.310909
   0.277943,    0.312870
   0.280777,    0.314195
   0.283611,    0.315606
   0.286445,    0.317103
   0.289279,    0.318692
   0.292113,    0.320374
   0.294947,    0.321032
   0.297781,    0.321351
   0.300615,    0.321718
   0.303449,    0.322133
   0.306282,    0.322599
   0.309116,    0.323115
   0.311950,    0.323466
   0.314784,    0.322401
   0.317618,    0.321083
   0.320452,    0.319795
   0.323286,    0.318538
   0.326120,    0.317311
   0.328954,    0.316112
   0.331788,    0.314943
   0.334622,    0.313802
   0.337456,    0.312260
   0.340290,    0.309867
   0.343123,    0.307502
   0.345957,    0.305169
   0.348791,    0.302869
   0.351625,    0.300595
   0.354459,    0.298348
   0.357293,    0.296127
   0.360127,    0.293931
   0.362961,    0.291761
   0.365795,    0.289615
   0.368629,    0.286902
   0.371463,    0.283764
   0.374297,    0.280667
   0.377130,    0.277610
   0.379964,    0.274585
   0.382798,    0.271573
   0.385632,    0.268602
   0.388466,    0.265669
   0.391300,    0.262775
   0.394134,    0.259918
   0.396968,    0.257099
   0.399802,    0.254317
   0.402636,    0.251571
   0.405470,    0.248860
   0.408304,    0.245974
   0.411137,    0.242599
   0.413971,    0.239277
   0.416805,    0.235974
   0.419639,    0.232727
   0.422473,    0.229535
   0.425307,    0.226396
   0.428141,    0.223311
   0.430975,    0.220277
   0.433809,    0.217294
   0.436643,    0.214361
   0.439477,    0.211477
   0.442311,    0.208641
   0.445145,    0.205852
   0.447978,    0.203109
   0.450812,    0.200380
   0.453646,    0.197693
   0.456480,    0.195050
   0.459314,    0.192452
   0.462148,    0.189896
   0.464982,    0.187364
   0.467816,    0.184465
   0.470650,    0.181624
   0.473484,    0.178839
   0.476318,    0.176110
   0.479152,    0.173434
   0.481985,    0.170811
   0.484819,    0.168175
   0.487653,    0.165569
   0.490487,    0.163015
   0.493321,    0.160513
   0.496155,    0.158060
   0.498989,    0.155656
