alpha body, CL_e
  -4.000000,    0.856119
  -3.172414,    0.946913
  -2.344828,    1.037867
  -1.517241,    1.128980
  -0.689655,    1.220250
   0.137931,    1.311803
   0.965517,    1.403374
   1.793103,    1.495101
   2.620690,    1.586983
   3.448276,    1.679017
   4.275862,    1.771206
   5.103448,    1.863546
   5.931034,    1.956039
   6.758621,    2.048682
   7.586207,    2.141217
   8.413793,    2.228458
   9.241379,    2.302369
  10.068966,    2.357662
  10.896552,    2.392017
  11.724138,    2.406099
  12.551724,    2.403574
  13.379310,    2.391126
  14.206897,    2.378491
  15.034483,    2.378445
  15.862069,    2.406821
  16.689655,    2.482520
  17.517241,    2.627512
  18.344828,    2.866844
  19.172414,    3.228649
  20.000000,    3.744155
