Ground Roll Distance, Horizontal Forces
 342.875462, -11234.774656
 351.122651, -11191.939680
 408.399326, -10895.645625
 419.736961, -10837.241322
 431.035803, -10779.116943
 442.296036, -10721.270426
 453.517847, -10663.699726
 454.284660, -10659.768634
 454.882991, -10656.701519
 455.390662, -10654.099315
 455.668094, -10652.677331
 455.856152, -10651.713462
 455.925362, -10651.358739
 455.936397, -10651.301567
 455.946511, -10651.244330
 456.047646, -10650.671847
 457.058805, -10644.936162
 467.151183, -10586.479641
 512.071400, -10297.224283
 556.525401, -9956.161131
 598.497443, -9571.839370
 619.034983, -9357.161565
 627.549836, -9266.526146
 635.773287, -9185.251000
 671.009171, -8799.784845
 705.020495, -8359.822447
 736.413633, -7878.753570
 765.147727, -7357.755176
 791.272058, -6797.842527
 814.863633, -6200.470339
 836.021284, -5567.433004
 854.860526, -4900.712405
 871.507464, -4202.326226
 879.145475, -3837.071490
 880.223386, -3782.815498
 881.384872, -3723.552459
 892.494787, -3110.034833
 896.269228, -2879.368891
 898.583588, -2731.354476
 899.440374, -2682.198980
 900.340181, -2651.493579
 908.878252, -2335.283447
 912.595470, -2180.854039
 914.870227, -2080.159029
 917.217043, -1970.606426
 917.875171, -1938.746758
 918.448014, -1910.584244
 918.962206, -1884.954715
 923.821852, -1624.078130
 931.239160, -1134.024676
 933.522393, -947.467996
 934.978413, -814.582319
 936.232957, -688.504938
 936.681559, -640.200542
 936.874147, -618.861967
 937.505951, -546.006455
 938.043933, -480.041779
 941.518958,  120.799596
 942.038493,  283.945467
 942.253283,  375.239308
 942.401175,  457.774071
 942.500476,  535.367576
 942.559038,  608.423233
 942.583379,  676.964451
 942.584820,  693.086405
 942.584928,  697.340420
 942.584940,  699.292994
